iter	Passed	Remaining
738	1658	585
739	1659	583
740	1661	580
741	1662	578
742	1664	575
743	1666	573
744	1667	570
745	1669	568
746	1670	565
747	1672	563
748	1674	560
749	1675	558
750	1676	556
751	1678	553
752	1680	551
753	1682	548
754	1683	546
755	1685	543
756	1686	541
757	1687	538
758	1689	536
759	1690	533
760	1692	531
761	1693	529
762	1696	526
763	1697	524
764	1699	522
765	1700	519
766	1702	517
767	1703	514
768	1705	512
769	1706	509
770	1708	507
771	1709	504
772	1711	502
773	1713	500
774	1714	497
775	1716	495
776	1717	492
777	1718	490
778	1720	488
779	1722	485
780	1723	483
781	1725	481
782	1727	478
783	1729	476
784	1730	474
785	1732	471
786	1734	469
787	1735	467
788	1737	464
789	1739	462
790	1741	460
791	1743	457
792	1744	455
793	1746	453
794	1748	450
795	1749	448
796	1750	445
797	1752	443
798	1754	441
799	1756	439
800	1757	436
801	1759	434
802	1760	432
803	1762	429
804	1763	427
805	1765	424
806	1767	422
807	1768	420
808	1770	418
809	1772	415
810	1773	413
811	1775	411
812	1776	408
813	1778	406
814	1780	404
815	1781	401
816	1783	399
817	1786	397
818	1788	395
819	1790	392
820	1791	390
821	1793	388
822	1795	386
823	1797	383
824	1799	381
825	1800	379
826	1802	377
827	1804	374
828	1805	372
829	1807	370
830	1808	367
831	1810	365
832	1811	363
833	1813	360
834	1814	358
835	1816	356
836	1818	354
837	1820	351
838	1822	349
839	1824	347
840	1825	345
841	1827	342
842	1828	340
843	1830	338
844	1831	336
845	1833	333
846	1835	331
847	1836	329
848	1838	327
849	1840	324
850	1841	322
851	1843	320
852	1845	317
853	1847	315
854	1849	313
855	1851	311
856	1852	309
857	1854	306
858	1856	304
859	1857	302
860	1859	300
861	1862	298
862	1863	295
863	1866	293
864	1867	291
865	1869	289
866	1870	287
867	1872	284
868	1874	282
869	1876	280
870	1877	278
871	1879	275
872	1880	273
873	1882	271
874	1884	269
875	1885	266
876	1887	264
877	1888	262
878	1890	260
879	1891	257
880	1893	255
881	1894	253
882	1896	251
883	1897	249
884	1899	246
885	1900	244
886	1902	242
887	1903	240
888	1905	237
889	1906	235
890	1908	233
891	1910	231
892	1911	229
893	1912	226
894	1914	224
895	1915	222
896	1917	220
897	1918	217
898	1920	215
899	1922	213
900	1923	211
901	1925	209
902	1926	206
903	1928	204
904	1929	202
905	1931	200
906	1932	198
907	1934	195
908	1936	193
909	1938	191
910	1940	189
911	1942	187
912	1944	185
913	1946	183
914	1947	180
915	1949	178
916	1951	176
917	1953	174
918	1954	172
919	1956	170
920	1957	167
921	1959	165
922	1960	163
923	1962	161
924	1964	159
925	1966	157
926	1967	154
927	1969	152
928	1970	150
929	1972	148
930	1974	146
931	1975	144
932	1976	141
933	1978	139
934	1980	137
935	1982	135
936	1983	133
937	1985	131
938	1986	129
939	1988	126
940	1989	124
941	1991	122
942	1992	120
943	1994	118
944	1995	116
945	1997	114
946	1998	111
947	2000	109
948	2001	107
949	2003	105
950	2004	103
951	2006	101
952	2008	99
953	2011	96
954	2013	94
955	2014	92
956	2016	90
957	2018	88
958	2019	86
959	2021	84
960	2022	82
961	2024	79
962	2026	77
963	2028	75
964	2030	73
965	2031	71
966	2033	69
967	2035	67
968	2037	65
969	2039	63
970	2040	60
971	2042	58
972	2044	56
973	2046	54
974	2047	52
975	2049	50
976	2050	48
977	2052	46
978	2054	44
979	2056	41
980	2057	39
981	2059	37
982	2060	35
983	2062	33
984	2064	31
985	2066	29
986	2067	27
987	2069	25
988	2071	23
989	2073	20
990	2075	18
991	2077	16
992	2079	14
993	2080	12
994	2082	10
995	2083	8
996	2086	6
997	2089	4
998	2090	2
999	2092	0
